Region ,Sub-Region,Cluster ,Office,Service Line Name  (group),Function,Sub Function,Cost Center Code,Cost Center Name,Case Group,Case Group Name,Case Code,Case Name,Cost Type,GL Account Name,GL Account,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500201,HLS Practice - General,,,Compensation,Bonus - Individual Performance,61020000,"30,697","30,697","30,697","32,047","32,047","32,047","32,047","32,047","32,047","32,047","32,047","32,047"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500201,HLS Practice - General,,,Compensation,Bonus - Office Performance,61023000,"4,568","4,568","4,568","5,780","5,780","5,780","5,780","5,780","5,780","5,780","5,780","5,780"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500201,HLS Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,"55,719","55,719","55,719","50,971","50,971","50,971","50,971","50,971","50,971","45,232","45,232","45,232"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500201,HLS Practice - General,,,Compensation,Wages,61010000,"135,091","135,091","135,091","141,035","141,035","141,035","141,035","141,035","141,035","141,035","141,035","141,035"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500201,HLS Practice - General,,,Programs,Other Operating Expenses,66000000,"98,333","98,333","98,333","98,333","98,333","98,333","98,333","98,333","98,333","98,333","98,333","98,333"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500201,HLS Practice - General,,,Programs,Travel - Other,61009000,"1,708","1,708","1,708","1,708","1,708","1,708","1,708","1,708","1,708","1,708","1,708","1,708"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500203,HLS Practice - DBs,,,Programs,Other Operating Expenses,66000000,"237,460","237,460","237,460","237,460","237,460","237,460","237,460","237,460","237,460","237,460","237,460","237,460"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,HLS Practice,7850,HLS Practice,78500204,HLS Practice - BCN,,,Programs,Other Operating Expenses,66000000,"33,750","33,750","33,750","33,750","33,750","33,750","33,750","33,750","33,750","33,750","33,750","33,750"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,M&A Practice (L2),7450,M&A Practice,74500201,M&A Practice - General,,,Compensation,Bonus - Individual Performance,61020000,"46,205","46,205","46,205","48,238","48,238","48,238","48,238","48,238","48,238","48,238","48,238","48,238"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,M&A Practice (L2),7450,M&A Practice,74500201,M&A Practice - General,,,Compensation,Bonus - Office Performance,61023000,8938,8938,8938,11311,11311,11311,11311,11311,11311,11311,11311,11311
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,M&A Practice (L2),7450,M&A Practice,74500201,M&A Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,"66,747","66,747","66,747","61,059","61,059","61,059","61,059","61,059","61,059","54,185","54,185","54,185"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,M&A Practice (L2),7450,M&A Practice,74500201,M&A Practice - General,,,Compensation,Wages,61010000,148374,148374,148374,154902,154902,154902,154902,154902,154902,154902,154902,154902
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,M&A Practice (L2),7450,M&A Practice,74500201,M&A Practice - General,,,Programs,Other Operating Expenses,66000000,"10,250","10,250","10,250","10,250","10,250","10,250","10,250","10,250","10,250","10,250","10,250","10,250"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,M&A Practice (L2),7450,M&A Practice,74500201,M&A Practice - General,,,Programs,Travel - Other,61009000,"3,017","3,017","3,017","3,017","3,017","3,017","3,017","3,017","3,017","3,017","3,017","3,017"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,M&A Practice (L2),7450,M&A Practice,74500203,M&A Practice - DBs,,,Programs,Other Operating Expenses,66000000,"1,138","1,138","1,138","1,138","1,138","1,138","1,138","1,138","1,138","1,138","1,138","1,138"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,M&A Practice (L2),7450,M&A Practice,74500204,M&A Practice - BCN,,,Programs,Other Operating Expenses,66000000,"3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750","3,750"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Organization Practice (L2),7400,Organization Practice,74000201,Organization Practice - General,,,Compensation,Bonus - Individual Performance,61020000,"41,628","41,628","41,628","43,460","43,460","43,460","43,460","43,460","43,460","43,460","43,460","43,460"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Organization Practice (L2),7400,Organization Practice,74000201,Organization Practice - General,,,Compensation,Bonus - Office Performance,61023000,7994,7994,7994,10116,10116,10116,10116,10116,10116,10116,10116,10116
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Organization Practice (L2),7400,Organization Practice,74000201,Organization Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,"59,824","59,824","59,824","54,726","54,726","54,726","54,726","54,726","54,726","48,565","48,565","48,565"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Organization Practice (L2),7400,Organization Practice,74000201,Organization Practice - General,,,Compensation,Wages,61010000,"132,788","132,788","132,788","138,631","138,631","138,631","138,631","138,631","138,631","138,631","138,631","138,631"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Organization Practice (L2),7400,Organization Practice,74000201,Organization Practice - General,,,Programs,Other Operating Expenses,66000000,"19,583","19,583","19,583","19,583","19,583","19,583","19,583","19,583","19,583","19,583","19,583","19,583"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Organization Practice (L2),7400,Organization Practice,74000201,Organization Practice - General,,,Programs,Travel - Other,61009000,607,607,607,607,607,607,607,607,607,607,607,607
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,PEG Practice (L2),7700,PEG Practice,77000201,PEG Practice - General,,,Compensation,Bonus - Individual Performance,61020000,"200,875","200,875","200,875","209,713","209,713","209,713","209,713","209,713","209,713","209,713","209,713","209,713"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,PEG Practice (L2),7700,PEG Practice,77000201,PEG Practice - General,,,Compensation,Bonus - Office Performance,61023000,"38,408","38,408","38,408","48,603","48,603","48,603","48,603","48,603","48,603","48,603","48,603","48,603"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,PEG Practice (L2),7700,PEG Practice,77000201,PEG Practice - General,,,Compensation,Freelance Service Fees,61108000,"14,583","14,583","14,583","14,583","14,583","14,583","14,583","14,583","14,583","14,583","14,583","14,583"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,PEG Practice (L2),7700,PEG Practice,77000201,PEG Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,"295,422","295,422","295,422","270,246","270,246","270,246","270,246","270,246","270,246","239,821","239,821","239,821"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,PEG Practice (L2),7700,PEG Practice,77000201,PEG Practice - General,,,Compensation,Wages,61010000,"647,542","647,542","647,542","676,034","676,034","676,034","676,034","676,034","676,034","676,034","676,034","676,034"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,PEG Practice (L2),7700,PEG Practice,77000201,PEG Practice - General,,,Programs,Other Operating Expenses,66000000,"30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,PEG Practice (L2),7700,PEG Practice,77000201,PEG Practice - General,,,Programs,Travel - Other,61009000,"1,375","1,375","1,375","1,375","1,375","1,375","1,375","1,375","1,375","1,375","1,375","1,375"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,PEG Practice (L2),7700,PEG Practice,77000203,PEG Practice - DBs,,,Programs,Other Operating Expenses,66000000,"47,792","47,792","47,792","47,792","47,792","47,792","47,792","47,792","47,792","47,792","47,792","47,792"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,PI Practice (L2),7350,PI Practice,73500201,PI Practice - General,,,Compensation,Bonus - Individual Performance,61020000,"146,232","146,232","146,232","152,666","152,666","152,666","152,666","152,666","152,666","152,666","152,666","152,666"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,PI Practice (L2),7350,PI Practice,73500201,PI Practice - General,,,Compensation,Bonus - Office Performance,61023000,"27,678","27,678","27,678","35,025","35,025","35,025","35,025","35,025","35,025","35,025","35,025","35,025"
