Cost Center Name,Summary Account,Period,Sum of USD Current Year Rate
Practice Area Prgrm Office,Bonus (Firm Perf.),3,"30,832"
Practice Area Prgrm Office,Bonus (Individual Perf.),1,"89,556"
Practice Area Prgrm Office,Bonus (Individual Perf.),2,"86,921"
Practice Area Prgrm Office,Bonus (Individual Perf.),3,"319,382"
Practice Area Prgrm Office,Bonus (Signing),1,614
Practice Area Prgrm Office,Bonus (Signing),2,561
Practice Area Prgrm Office,Bonus (Signing),3,479
Practice Area Prgrm Office,Fringe / Benefits,1,"95,271"
Practice Area Prgrm Office,Fringe / Benefits,2,"76,052"
Practice Area Prgrm Office,Fringe / Benefits,3,"161,270"
Practice Area Prgrm Office,Other Compensation,1,"-34,006"
Practice Area Prgrm Office,Other Compensation,2,"-32,235"
Practice Area Prgrm Office,Other Compensation,3,"-35,755"
Practice Area Prgrm Office,Salary,1,"303,266"
Practice Area Prgrm Office,Salary,2,"296,325"
Practice Area Prgrm Office,Salary,3,"335,808"
Retail Practice,Bonus (Firm Perf.),1,"33,187"
Retail Practice,Bonus (Firm Perf.),2,"-11,952"
Retail Practice,Bonus (Firm Perf.),3,"-2,158"
Retail Practice,Bonus (Individual Perf.),1,"68,316"
Retail Practice,Bonus (Individual Perf.),2,"39,824"
Retail Practice,Bonus (Individual Perf.),3,"25,121"
Retail Practice,Bonus (Signing),1,114
Retail Practice,Bonus (Signing),2,114
Retail Practice,Bonus (Signing),3,111
Retail Practice,Fringe / Benefits,1,"64,241"
Retail Practice,Fringe / Benefits,2,"48,258"
Retail Practice,Fringe / Benefits,3,"83,241"
Retail Practice,Salary,1,"206,348"
Retail Practice,Salary,2,"184,951"
Retail Practice,Salary,3,"167,994"
Strategy & Transformation Practice,Bonus (Firm Perf.),1,"79,902"
Strategy & Transformation Practice,Bonus (Firm Perf.),2,"-36,884"
Strategy & Transformation Practice,Bonus (Firm Perf.),3,"-5,069"
Strategy & Transformation Practice,Bonus (Individual Perf.),1,"135,506"
Strategy & Transformation Practice,Bonus (Individual Perf.),2,"73,733"
Strategy & Transformation Practice,Bonus (Individual Perf.),3,"-51,584"
Strategy & Transformation Practice,Bonus (Signing),1,205
Strategy & Transformation Practice,Bonus (Signing),2,206
Strategy & Transformation Practice,Bonus (Signing),3,201
Strategy & Transformation Practice,Fringe / Benefits,1,"173,676"
Strategy & Transformation Practice,Fringe / Benefits,2,"91,825"
Strategy & Transformation Practice,Fringe / Benefits,3,"103,944"
Strategy & Transformation Practice,Other Compensation,1,"53,238"
Strategy & Transformation Practice,Other Compensation,2,"52,757"
Strategy & Transformation Practice,Other Compensation,3,"80,408"
Strategy & Transformation Practice,Salary,1,"371,520"
Strategy & Transformation Practice,Salary,2,"363,178"
Strategy & Transformation Practice,Salary,3,"372,344"
TMT Practice,Bonus (Firm Perf.),1,"28,603"
TMT Practice,Bonus (Firm Perf.),2,"-10,199"
TMT Practice,Bonus (Firm Perf.),3,"4,537"
TMT Practice,Bonus (Individual Perf.),1,"50,920"
TMT Practice,Bonus (Individual Perf.),2,"50,044"
TMT Practice,Bonus (Individual Perf.),3,"52,921"
TMT Practice,Bonus (Signing),1,205
TMT Practice,Bonus (Signing),2,206
TMT Practice,Bonus (Signing),3,201
TMT Practice,Fringe / Benefits,1,"19,469"
TMT Practice,Fringe / Benefits,2,"40,860"
TMT Practice,Fringe / Benefits,3,"44,426"
TMT Practice,Salary,1,"163,381"
TMT Practice,Salary,2,"162,689"
TMT Practice,Salary,3,"161,886"
Vector Practice,Fringe / Benefits,1,"-11,013"
Vector Practice,Fringe / Benefits,2,"11,013"
Vector Practice,Other Compensation,1,"-87,975"
Vector Practice,Other Compensation,2,"87,975"
Vector Practice,Salary,1,"15,147"
Vector Practice,Salary,2,"-15,147"
