Practice,Summary Account,Period,Sum of USD Current Year Rate
Customer Practice,Bonus (Signing),8,170
Customer Practice,Bonus (Signing),9,170
Customer Practice,Bonus (Signing),10,170
Customer Practice,Bonus (Signing),12,474
Customer Practice,Fringe / Benefits,1,"73,781"
Customer Practice,Fringe / Benefits,2,"123,239"
Customer Practice,Fringe / Benefits,3,"118,569"
Customer Practice,Fringe / Benefits,4,"29,721"
Customer Practice,Fringe / Benefits,5,"75,988"
Customer Practice,Fringe / Benefits,6,"80,962"
Customer Practice,Fringe / Benefits,7,"84,122"
Customer Practice,Fringe / Benefits,8,"85,208"
Customer Practice,Fringe / Benefits,9,"173,792"
Customer Practice,Fringe / Benefits,10,"38,524"
Customer Practice,Fringe / Benefits,11,"76,426"
Customer Practice,Fringe / Benefits,12,"61,749"
Customer Practice,Other Compensation,3,"172,347"
Customer Practice,Other Compensation,4,"-65,359"
Customer Practice,Other Compensation,5,"-7,940"
Customer Practice,Other Compensation,6,"-3,373"
Customer Practice,Other Compensation,7,-486
Customer Practice,Other Compensation,8,"9,125"
Customer Practice,Other Compensation,9,"48,054"
Customer Practice,Other Compensation,10,0
Customer Practice,Other Compensation,11,0
Customer Practice,Other Compensation,12,0
Customer Practice,Salary,1,"304,339"
Customer Practice,Salary,2,"299,002"
Customer Practice,Salary,3,"333,860"
Customer Practice,Salary,4,"270,928"
Customer Practice,Salary,5,"312,151"
Customer Practice,Salary,6,"281,008"
Customer Practice,Salary,7,"269,363"
Customer Practice,Salary,8,"266,904"
Customer Practice,Salary,9,"251,460"
Customer Practice,Salary,10,"263,286"
Customer Practice,Salary,11,"246,693"
Customer Practice,Salary,12,"292,165"
ENR Practice,Bonus (Firm Perf.),1,"5,459"
ENR Practice,Bonus (Firm Perf.),2,"5,481"
ENR Practice,Bonus (Firm Perf.),3,"-14,048"
ENR Practice,Bonus (Firm Perf.),4,"15,779"
ENR Practice,Bonus (Firm Perf.),5,"6,107"
ENR Practice,Bonus (Firm Perf.),6,"-13,191"
ENR Practice,Bonus (Firm Perf.),7,"17,474"
ENR Practice,Bonus (Firm Perf.),8,"6,185"
ENR Practice,Bonus (Firm Perf.),9,"5,911"
ENR Practice,Bonus (Firm Perf.),10,"6,790"
ENR Practice,Bonus (Firm Perf.),11,"6,508"
ENR Practice,Bonus (Firm Perf.),12,"6,887"
ENR Practice,Bonus (Individual Perf.),1,"46,902"
ENR Practice,Bonus (Individual Perf.),2,"26,471"
ENR Practice,Bonus (Individual Perf.),3,"81,645"
ENR Practice,Bonus (Individual Perf.),4,"-46,807"
ENR Practice,Bonus (Individual Perf.),5,"49,223"
ENR Practice,Bonus (Individual Perf.),6,"129,226"
ENR Practice,Bonus (Individual Perf.),7,"27,043"
ENR Practice,Bonus (Individual Perf.),8,"45,676"
ENR Practice,Bonus (Individual Perf.),9,"44,848"
ENR Practice,Bonus (Individual Perf.),10,"53,481"
ENR Practice,Bonus (Individual Perf.),11,"45,727"
ENR Practice,Bonus (Individual Perf.),12,"54,949"
ENR Practice,Bonus (Signing),12,190
ENR Practice,Fringe / Benefits,1,"37,452"
ENR Practice,Fringe / Benefits,2,"69,662"
ENR Practice,Fringe / Benefits,3,"85,129"
ENR Practice,Fringe / Benefits,4,"23,237"
ENR Practice,Fringe / Benefits,5,"70,606"
ENR Practice,Fringe / Benefits,6,"70,685"
ENR Practice,Fringe / Benefits,7,"50,838"
ENR Practice,Fringe / Benefits,8,"25,088"
ENR Practice,Fringe / Benefits,9,"113,520"
ENR Practice,Fringe / Benefits,10,"59,875"
ENR Practice,Fringe / Benefits,11,"59,860"
ENR Practice,Fringe / Benefits,12,"59,454"
ENR Practice,Other Compensation,3,"243,495"
ENR Practice,Other Compensation,4,"-31,163"
ENR Practice,Other Compensation,5,"-21,963"
ENR Practice,Other Compensation,6,"-1,871"
ENR Practice,Other Compensation,7,"-8,538"
ENR Practice,Other Compensation,8,"-8,538"
ENR Practice,Other Compensation,9,0
ENR Practice,Other Compensation,10,"-16,801"
ENR Practice,Other Compensation,11,"-3,856"
ENR Practice,Other Compensation,12,0
ENR Practice,Salary,1,"172,781"
ENR Practice,Salary,2,"173,543"
ENR Practice,Salary,3,"210,189"
ENR Practice,Salary,4,"140,456"
ENR Practice,Salary,5,"198,858"
ENR Practice,Salary,6,"140,633"
ENR Practice,Salary,7,"143,206"
ENR Practice,Salary,8,"142,996"
ENR Practice,Salary,9,"124,244"
ENR Practice,Salary,10,"147,111"
ENR Practice,Salary,11,"142,473"
ENR Practice,Salary,12,"175,854"
ET Practice,Bonus (Firm Perf.),1,"4,080"
ET Practice,Bonus (Firm Perf.),2,"3,145"
ET Practice,Bonus (Firm Perf.),3,"-10,304"
ET Practice,Bonus (Firm Perf.),4,"5,469"
ET Practice,Bonus (Firm Perf.),5,"3,914"
ET Practice,Bonus (Firm Perf.),6,"-5,318"
ET Practice,Bonus (Firm Perf.),7,"9,934"
ET Practice,Bonus (Firm Perf.),8,"4,581"
ET Practice,Bonus (Firm Perf.),9,"4,417"
ET Practice,Bonus (Firm Perf.),10,"5,886"
ET Practice,Bonus (Firm Perf.),11,"4,714"
ET Practice,Bonus (Firm Perf.),12,"4,888"
ET Practice,Bonus (Individual Perf.),1,"34,943"
ET Practice,Bonus (Individual Perf.),2,128
ET Practice,Bonus (Individual Perf.),3,"33,651"
ET Practice,Bonus (Individual Perf.),4,"34,264"
ET Practice,Bonus (Individual Perf.),5,"35,217"
ET Practice,Bonus (Individual Perf.),6,"45,258"
ET Practice,Bonus (Individual Perf.),7,"35,937"
ET Practice,Bonus (Individual Perf.),8,"38,809"
ET Practice,Bonus (Individual Perf.),9,"60,473"
ET Practice,Bonus (Individual Perf.),10,"44,016"
ET Practice,Bonus (Individual Perf.),11,"38,308"
ET Practice,Bonus (Individual Perf.),12,"40,674"
ET Practice,Bonus (Signing),1,24
ET Practice,Bonus (Signing),2,24
ET Practice,Bonus (Signing),5,12
ET Practice,Bonus (Signing),6,12
ET Practice,Bonus (Signing),7,12
ET Practice,Bonus (Signing),8,24
ET Practice,Bonus (Signing),9,24
ET Practice,Bonus (Signing),10,24
ET Practice,Bonus (Signing),12,237
ET Practice,Fringe / Benefits,1,"79,238"
ET Practice,Fringe / Benefits,2,"-10,437"
ET Practice,Fringe / Benefits,3,"65,794"
ET Practice,Fringe / Benefits,4,"31,331"
ET Practice,Fringe / Benefits,5,"31,355"
ET Practice,Fringe / Benefits,6,"45,223"
ET Practice,Fringe / Benefits,7,"34,986"
ET Practice,Fringe / Benefits,8,"23,880"
ET Practice,Fringe / Benefits,9,"115,467"
ET Practice,Fringe / Benefits,10,"48,956"
ET Practice,Fringe / Benefits,11,"37,612"
ET Practice,Fringe / Benefits,12,"36,811"
ET Practice,Other Compensation,3,"115,794"
ET Practice,Other Compensation,4,"3,933"
ET Practice,Other Compensation,5,"1,060"
ET Practice,Other Compensation,6,"-39,108"
ET Practice,Other Compensation,7,"-12,123"
ET Practice,Other Compensation,8,"-12,123"
ET Practice,Other Compensation,9,0
ET Practice,Other Compensation,10,"-2,738"
ET Practice,Salary,1,"130,414"
ET Practice,Salary,2,"126,557"
ET Practice,Salary,3,"135,202"
ET Practice,Salary,4,"141,220"
ET Practice,Salary,5,"136,032"
ET Practice,Salary,6,"140,196"
ET Practice,Salary,7,"139,219"
ET Practice,Salary,8,"140,096"
ET Practice,Salary,9,"117,938"
ET Practice,Salary,10,"141,814"
ET Practice,Salary,11,"134,730"
ET Practice,Salary,12,"137,471"
FS Practice,Bonus (Firm Perf.),1,"6,652"
FS Practice,Bonus (Firm Perf.),2,"7,012"
FS Practice,Bonus (Firm Perf.),3,"-14,954"
FS Practice,Bonus (Firm Perf.),4,"8,479"
FS Practice,Bonus (Firm Perf.),5,"7,566"
FS Practice,Bonus (Firm Perf.),6,"9,180"
FS Practice,Bonus (Firm Perf.),7,"9,952"
FS Practice,Bonus (Firm Perf.),8,"8,383"
FS Practice,Bonus (Firm Perf.),9,"5,522"
FS Practice,Bonus (Firm Perf.),10,"6,883"
