Practice,Summary Account,Period,Sum of USD Current Year Rate
M&A Practice,Bonus (Firm Perf.),5,"5,757"
M&A Practice,Bonus (Firm Perf.),6,"-1,570"
M&A Practice,Bonus (Firm Perf.),7,"6,760"
M&A Practice,Bonus (Firm Perf.),8,"6,368"
M&A Practice,Bonus (Firm Perf.),9,"6,357"
M&A Practice,Bonus (Firm Perf.),10,"7,360"
M&A Practice,Bonus (Firm Perf.),11,"9,092"
M&A Practice,Bonus (Firm Perf.),12,"7,175"
M&A Practice,Bonus (Individual Perf.),1,"-9,393"
M&A Practice,Bonus (Individual Perf.),2,"93,353"
M&A Practice,Bonus (Individual Perf.),3,"40,381"
M&A Practice,Bonus (Individual Perf.),4,"42,184"
M&A Practice,Bonus (Individual Perf.),5,"33,846"
M&A Practice,Bonus (Individual Perf.),6,"39,363"
M&A Practice,Bonus (Individual Perf.),7,"39,325"
M&A Practice,Bonus (Individual Perf.),8,"38,075"
M&A Practice,Bonus (Individual Perf.),9,"38,929"
M&A Practice,Bonus (Individual Perf.),10,"54,212"
M&A Practice,Bonus (Individual Perf.),11,"45,502"
M&A Practice,Bonus (Individual Perf.),12,"44,012"
M&A Practice,Bonus (Signing),1,97
M&A Practice,Bonus (Signing),2,194
M&A Practice,Bonus (Signing),3,145
M&A Practice,Bonus (Signing),5,194
M&A Practice,Bonus (Signing),6,97
M&A Practice,Bonus (Signing),7,97
M&A Practice,Bonus (Signing),8,97
M&A Practice,Bonus (Signing),9,97
M&A Practice,Bonus (Signing),10,97
M&A Practice,Bonus (Signing),12,"5,040"
M&A Practice,Fringe / Benefits,1,"56,938"
M&A Practice,Fringe / Benefits,2,"64,444"
M&A Practice,Fringe / Benefits,3,"55,747"
M&A Practice,Fringe / Benefits,4,"31,673"
M&A Practice,Fringe / Benefits,5,"34,062"
M&A Practice,Fringe / Benefits,6,"32,378"
M&A Practice,Fringe / Benefits,7,"33,949"
M&A Practice,Fringe / Benefits,8,"13,252"
M&A Practice,Fringe / Benefits,9,"36,392"
M&A Practice,Fringe / Benefits,10,"29,899"
M&A Practice,Fringe / Benefits,11,"32,793"
M&A Practice,Fringe / Benefits,12,"36,186"
M&A Practice,Other Compensation,3,"85,328"
M&A Practice,Other Compensation,4,"-26,001"
M&A Practice,Other Compensation,5,"-11,233"
M&A Practice,Other Compensation,6,"11,628"
M&A Practice,Other Compensation,7,-32
M&A Practice,Other Compensation,8,"-42,895"
M&A Practice,Salary,1,"137,549"
M&A Practice,Salary,2,"128,517"
M&A Practice,Salary,3,"150,168"
M&A Practice,Salary,4,"134,094"
M&A Practice,Salary,5,"137,153"
M&A Practice,Salary,6,"121,483"
M&A Practice,Salary,7,"120,757"
M&A Practice,Salary,8,"160,237"
M&A Practice,Salary,9,"113,691"
M&A Practice,Salary,10,"118,611"
M&A Practice,Salary,11,"120,904"
M&A Practice,Salary,12,"140,326"
Organization Practice,Bonus (Firm Perf.),1,"1,641"
Organization Practice,Bonus (Firm Perf.),2,"6,133"
Organization Practice,Bonus (Firm Perf.),3,"-14,550"
Organization Practice,Bonus (Firm Perf.),4,"6,020"
Organization Practice,Bonus (Firm Perf.),5,"3,410"
Organization Practice,Bonus (Firm Perf.),6,403
Organization Practice,Bonus (Firm Perf.),7,"12,188"
Organization Practice,Bonus (Firm Perf.),8,"6,841"
Organization Practice,Bonus (Firm Perf.),9,"6,716"
Organization Practice,Bonus (Firm Perf.),10,"6,479"
Organization Practice,Bonus (Firm Perf.),11,"6,405"
Organization Practice,Bonus (Firm Perf.),12,"10,058"
Organization Practice,Bonus (Individual Perf.),1,"6,628"
Organization Practice,Bonus (Individual Perf.),2,"38,863"
Organization Practice,Bonus (Individual Perf.),3,"-62,501"
Organization Practice,Bonus (Individual Perf.),4,"11,335"
Organization Practice,Bonus (Individual Perf.),5,"-48,070"
Organization Practice,Bonus (Individual Perf.),6,"43,453"
Organization Practice,Bonus (Individual Perf.),7,"39,224"
Organization Practice,Bonus (Individual Perf.),8,"43,164"
Organization Practice,Bonus (Individual Perf.),9,"86,826"
Organization Practice,Bonus (Individual Perf.),10,"44,793"
Organization Practice,Bonus (Individual Perf.),11,"55,289"
Organization Practice,Bonus (Individual Perf.),12,"60,131"
Organization Practice,Bonus (Signing),1,97
Organization Practice,Bonus (Signing),2,194
Organization Practice,Bonus (Signing),3,145
Organization Practice,Bonus (Signing),5,"4,997"
Organization Practice,Bonus (Signing),6,97
Organization Practice,Bonus (Signing),7,97
Organization Practice,Bonus (Signing),8,109
Organization Practice,Bonus (Signing),9,109
Organization Practice,Bonus (Signing),10,109
Organization Practice,Bonus (Signing),12,213
Organization Practice,Fringe / Benefits,1,"19,612"
Organization Practice,Fringe / Benefits,2,"38,791"
Organization Practice,Fringe / Benefits,3,"11,030"
Organization Practice,Fringe / Benefits,4,"22,041"
Organization Practice,Fringe / Benefits,5,"18,634"
Organization Practice,Fringe / Benefits,6,"24,617"
Organization Practice,Fringe / Benefits,7,"34,521"
Organization Practice,Fringe / Benefits,8,"20,049"
Organization Practice,Fringe / Benefits,9,"43,509"
Organization Practice,Fringe / Benefits,10,"37,103"
Organization Practice,Fringe / Benefits,11,"26,686"
Organization Practice,Fringe / Benefits,12,"27,215"
Organization Practice,Other Compensation,3,"16,425"
Organization Practice,Other Compensation,4,0
Organization Practice,Other Compensation,5,-37
Organization Practice,Salary,1,"105,699"
Organization Practice,Salary,2,"102,489"
Organization Practice,Salary,3,"114,513"
Organization Practice,Salary,4,"96,353"
Organization Practice,Salary,5,"121,803"
Organization Practice,Salary,6,"110,982"
Organization Practice,Salary,7,"110,166"
Organization Practice,Salary,8,"110,512"
Organization Practice,Salary,9,"110,816"
Organization Practice,Salary,10,"126,746"
Organization Practice,Salary,11,"115,943"
Organization Practice,Salary,12,"138,505"
PEG Practice,Bonus (Firm Perf.),1,"25,951"
PEG Practice,Bonus (Firm Perf.),2,"20,947"
PEG Practice,Bonus (Firm Perf.),3,"-44,801"
PEG Practice,Bonus (Firm Perf.),4,"29,515"
PEG Practice,Bonus (Firm Perf.),5,"40,557"
PEG Practice,Bonus (Firm Perf.),6,"6,833"
PEG Practice,Bonus (Firm Perf.),7,"51,105"
PEG Practice,Bonus (Firm Perf.),8,"29,054"
PEG Practice,Bonus (Firm Perf.),9,"11,582"
PEG Practice,Bonus (Firm Perf.),10,"34,969"
PEG Practice,Bonus (Firm Perf.),11,"32,521"
PEG Practice,Bonus (Firm Perf.),12,"29,921"
PEG Practice,Bonus (Individual Perf.),1,"242,701"
PEG Practice,Bonus (Individual Perf.),2,"146,789"
PEG Practice,Bonus (Individual Perf.),3,"220,449"
PEG Practice,Bonus (Individual Perf.),4,"85,101"
PEG Practice,Bonus (Individual Perf.),5,"305,794"
PEG Practice,Bonus (Individual Perf.),6,"283,282"
PEG Practice,Bonus (Individual Perf.),7,"-136,338"
PEG Practice,Bonus (Individual Perf.),8,"245,688"
PEG Practice,Bonus (Individual Perf.),9,"152,457"
PEG Practice,Bonus (Individual Perf.),10,"282,029"
PEG Practice,Bonus (Individual Perf.),11,"261,088"
PEG Practice,Bonus (Individual Perf.),12,"254,758"
PEG Practice,Bonus (Signing),1,291
PEG Practice,Bonus (Signing),2,"6,871"
PEG Practice,Bonus (Signing),3,436
PEG Practice,Bonus (Signing),5,581
PEG Practice,Bonus (Signing),6,291
PEG Practice,Bonus (Signing),7,291
PEG Practice,Bonus (Signing),8,291
PEG Practice,Bonus (Signing),9,291
PEG Practice,Bonus (Signing),10,"13,739"
PEG Practice,Bonus (Signing),12,948
PEG Practice,Fringe / Benefits,1,"297,403"
PEG Practice,Fringe / Benefits,2,"204,128"
PEG Practice,Fringe / Benefits,3,"205,151"
PEG Practice,Fringe / Benefits,4,"53,462"
PEG Practice,Fringe / Benefits,5,"197,801"
PEG Practice,Fringe / Benefits,6,"168,027"
PEG Practice,Fringe / Benefits,7,"157,090"
PEG Practice,Fringe / Benefits,8,"81,015"
PEG Practice,Fringe / Benefits,9,"280,249"
PEG Practice,Fringe / Benefits,10,"177,238"
PEG Practice,Fringe / Benefits,11,"159,369"
PEG Practice,Fringe / Benefits,12,"170,710"
PEG Practice,Other Compensation,3,"276,068"
PEG Practice,Other Compensation,4,"-9,298"
PEG Practice,Other Compensation,5,"-6,724"
PEG Practice,Other Compensation,6,"-28,388"
PEG Practice,Other Compensation,7,"-8,740"
PEG Practice,Other Compensation,8,"-20,810"
PEG Practice,Other Compensation,9,"-21,595"
PEG Practice,Other Compensation,10,-655
PEG Practice,Other Compensation,11,"1,229"
PEG Practice,Other Compensation,12,-574
PEG Practice,Salary,1,"560,215"
PEG Practice,Salary,2,"572,322"
PEG Practice,Salary,3,"572,457"
PEG Practice,Salary,4,"588,360"
PEG Practice,Salary,5,"641,877"
PEG Practice,Salary,6,"593,494"
PEG Practice,Salary,7,"600,150"
PEG Practice,Salary,8,"511,707"
PEG Practice,Salary,9,"541,137"
PEG Practice,Salary,10,"570,387"
PEG Practice,Salary,11,"557,597"
PEG Practice,Salary,12,"623,360"
PI Practice,Bonus (Firm Perf.),1,"18,575"
PI Practice,Bonus (Firm Perf.),2,"18,687"
PI Practice,Bonus (Firm Perf.),3,"-31,743"
PI Practice,Bonus (Firm Perf.),4,"22,164"
PI Practice,Bonus (Firm Perf.),5,"17,695"
PI Practice,Bonus (Firm Perf.),6,"7,335"
PI Practice,Bonus (Firm Perf.),7,"12,786"
PI Practice,Bonus (Firm Perf.),8,"21,362"
PI Practice,Bonus (Firm Perf.),9,"25,095"
PI Practice,Bonus (Firm Perf.),10,"27,137"
PI Practice,Bonus (Firm Perf.),11,"27,024"
PI Practice,Bonus (Firm Perf.),12,"37,560"
PI Practice,Bonus (Individual Perf.),1,"153,417"
PI Practice,Bonus (Individual Perf.),2,"152,187"
PI Practice,Bonus (Individual Perf.),3,"190,664"
PI Practice,Bonus (Individual Perf.),4,"36,347"
PI Practice,Bonus (Individual Perf.),5,"162,348"
PI Practice,Bonus (Individual Perf.),6,"162,697"
PI Practice,Bonus (Individual Perf.),7,"79,546"
PI Practice,Bonus (Individual Perf.),8,"127,205"
PI Practice,Bonus (Individual Perf.),9,"282,343"
PI Practice,Bonus (Individual Perf.),10,"131,751"
PI Practice,Bonus (Individual Perf.),11,"132,322"
PI Practice,Bonus (Individual Perf.),12,"145,992"
PI Practice,Bonus (Signing),3,436
PI Practice,Bonus (Signing),5,581
PI Practice,Bonus (Signing),6,291
PI Practice,Bonus (Signing),7,291
PI Practice,Bonus (Signing),8,327
PI Practice,Bonus (Signing),9,327
PI Practice,Bonus (Signing),10,969
PI Practice,Bonus (Signing),11,630
PI Practice,Bonus (Signing),12,"1,650"
PI Practice,Fringe / Benefits,1,"160,063"
PI Practice,Fringe / Benefits,2,"170,354"
PI Practice,Fringe / Benefits,3,"153,426"
PI Practice,Fringe / Benefits,4,"129,561"
PI Practice,Fringe / Benefits,5,"109,902"
PI Practice,Fringe / Benefits,6,"112,464"
PI Practice,Fringe / Benefits,7,"94,627"
PI Practice,Fringe / Benefits,8,"49,879"
PI Practice,Fringe / Benefits,9,"215,779"
PI Practice,Fringe / Benefits,10,"51,782"
PI Practice,Fringe / Benefits,11,"96,383"
PI Practice,Fringe / Benefits,12,"139,759"
PI Practice,Other Compensation,3,"246,937"
PI Practice,Other Compensation,4,"181,528"
PI Practice,Other Compensation,5,"-67,117"
PI Practice,Other Compensation,6,"8,550"
PI Practice,Other Compensation,7,"-219,214"
PI Practice,Other Compensation,8,"-11,677"
PI Practice,Other Compensation,9,"-4,502"
PI Practice,Other Compensation,12,257
PI Practice,Salary,1,"380,091"
PI Practice,Salary,2,"488,313"
PI Practice,Salary,3,"512,091"
PI Practice,Salary,4,"567,289"
PI Practice,Salary,5,"536,110"
PI Practice,Salary,6,"511,111"
PI Practice,Salary,7,"662,802"
PI Practice,Salary,8,"432,207"
PI Practice,Salary,9,"323,324"
PI Practice,Salary,10,"434,450"
PI Practice,Salary,11,"400,298"
PI Practice,Salary,12,"479,119"
Retail Practice,Bonus (Firm Perf.),1,"6,330"
Retail Practice,Bonus (Firm Perf.),2,"5,596"
Retail Practice,Bonus (Firm Perf.),3,"-12,091"
Retail Practice,Bonus (Firm Perf.),4,"6,099"
Retail Practice,Bonus (Firm Perf.),5,"10,337"
Retail Practice,Bonus (Firm Perf.),6,"-24,284"
Retail Practice,Bonus (Firm Perf.),7,"9,932"
Retail Practice,Bonus (Firm Perf.),8,"7,567"
Retail Practice,Bonus (Firm Perf.),9,"7,155"
Retail Practice,Bonus (Firm Perf.),10,"10,978"
Retail Practice,Bonus (Firm Perf.),11,"7,832"
Retail Practice,Bonus (Firm Perf.),12,"63,157"
Retail Practice,Bonus (Individual Perf.),1,"-7,006"
Retail Practice,Bonus (Individual Perf.),2,"106,368"
Retail Practice,Bonus (Individual Perf.),3,"136,361"
Retail Practice,Bonus (Individual Perf.),4,"-82,401"
Retail Practice,Bonus (Individual Perf.),5,"53,910"
Retail Practice,Bonus (Individual Perf.),6,"102,544"
Retail Practice,Bonus (Individual Perf.),7,"55,814"
Retail Practice,Bonus (Individual Perf.),8,"58,752"
Retail Practice,Bonus (Individual Perf.),9,"140,299"
Retail Practice,Bonus (Individual Perf.),10,"62,846"
Retail Practice,Bonus (Individual Perf.),11,"48,384"
Retail Practice,Bonus (Individual Perf.),12,"54,825"
Retail Practice,Bonus (Signing),1,24
Retail Practice,Bonus (Signing),2,24
Retail Practice,Bonus (Signing),5,73
Retail Practice,Bonus (Signing),6,73
Retail Practice,Bonus (Signing),7,73
Retail Practice,Bonus (Signing),8,73
Retail Practice,Bonus (Signing),9,73
Retail Practice,Bonus (Signing),10,73
Retail Practice,Bonus (Signing),12,121
Retail Practice,Fringe / Benefits,1,"79,626"
Retail Practice,Fringe / Benefits,2,"91,653"
Retail Practice,Fringe / Benefits,3,"87,089"
Retail Practice,Fringe / Benefits,4,"70,607"
Retail Practice,Fringe / Benefits,5,"66,683"
Retail Practice,Fringe / Benefits,6,"78,804"
Retail Practice,Fringe / Benefits,7,"87,087"
Retail Practice,Fringe / Benefits,8,"67,947"
Retail Practice,Fringe / Benefits,9,"126,536"
Retail Practice,Fringe / Benefits,10,"80,525"
Retail Practice,Fringe / Benefits,11,"81,178"
Retail Practice,Fringe / Benefits,12,"79,641"
Retail Practice,Other Compensation,3,"136,795"
Retail Practice,Other Compensation,4,"-23,365"
Retail Practice,Other Compensation,5,"-5,880"
Retail Practice,Other Compensation,6,"-26,819"
Retail Practice,Overtime,1,52
Retail Practice,Overtime,2,3
Retail Practice,Salary,1,"177,914"
Retail Practice,Salary,2,"170,061"
Retail Practice,Salary,3,"175,910"
Retail Practice,Salary,4,"172,615"
Retail Practice,Salary,5,"186,658"
Retail Practice,Salary,6,"193,275"
Retail Practice,Salary,7,"171,848"
Retail Practice,Salary,8,"187,981"
Retail Practice,Salary,9,"171,696"
Retail Practice,Salary,10,"183,160"
Retail Practice,Salary,11,"178,331"
Retail Practice,Salary,12,"194,969"
S&T Practice,Bonus (Firm Perf.),1,"19,177"
S&T Practice,Bonus (Firm Perf.),2,"54,328"
S&T Practice,Bonus (Firm Perf.),3,"-65,982"
S&T Practice,Bonus (Firm Perf.),4,"23,290"
S&T Practice,Bonus (Firm Perf.),5,"21,696"
S&T Practice,Bonus (Firm Perf.),6,"23,740"
S&T Practice,Bonus (Firm Perf.),7,"24,455"
S&T Practice,Bonus (Firm Perf.),8,"24,613"
S&T Practice,Bonus (Firm Perf.),9,"24,412"
S&T Practice,Bonus (Firm Perf.),10,"25,940"
S&T Practice,Bonus (Firm Perf.),11,"25,801"
S&T Practice,Bonus (Firm Perf.),12,"25,984"
S&T Practice,Bonus (Individual Perf.),1,"148,548"
S&T Practice,Bonus (Individual Perf.),2,"345,274"
S&T Practice,Bonus (Individual Perf.),3,"34,573"
S&T Practice,Bonus (Individual Perf.),4,"90,180"
S&T Practice,Bonus (Individual Perf.),5,"100,774"
S&T Practice,Bonus (Individual Perf.),6,"199,785"
S&T Practice,Bonus (Individual Perf.),7,"148,526"
S&T Practice,Bonus (Individual Perf.),8,"165,441"
S&T Practice,Bonus (Individual Perf.),9,"261,523"
S&T Practice,Bonus (Individual Perf.),10,"166,411"
S&T Practice,Bonus (Individual Perf.),11,"141,890"
S&T Practice,Bonus (Individual Perf.),12,"176,620"
S&T Practice,Bonus (Signing),1,24
S&T Practice,Bonus (Signing),2,24
S&T Practice,Bonus (Signing),5,24
S&T Practice,Bonus (Signing),6,24
S&T Practice,Bonus (Signing),7,24
S&T Practice,Bonus (Signing),8,24
S&T Practice,Bonus (Signing),9,24
S&T Practice,Bonus (Signing),10,24
S&T Practice,Bonus (Signing),12,427
S&T Practice,Fringe / Benefits,1,"117,492"
S&T Practice,Fringe / Benefits,2,"272,020"
S&T Practice,Fringe / Benefits,3,"205,538"
S&T Practice,Fringe / Benefits,4,"133,897"
S&T Practice,Fringe / Benefits,5,"141,996"
S&T Practice,Fringe / Benefits,6,"108,517"
S&T Practice,Fringe / Benefits,7,"108,152"
S&T Practice,Fringe / Benefits,8,"75,913"
S&T Practice,Fringe / Benefits,9,"294,702"
S&T Practice,Fringe / Benefits,10,"124,189"
S&T Practice,Fringe / Benefits,11,"92,730"
S&T Practice,Fringe / Benefits,12,"135,464"
S&T Practice,Other Compensation,3,"537,392"
S&T Practice,Other Compensation,4,"-33,747"
S&T Practice,Other Compensation,5,"10,548"
S&T Practice,Other Compensation,6,"24,357"
S&T Practice,Other Compensation,7,"-194,107"
S&T Practice,Other Compensation,8,"-12,187"
S&T Practice,Other Compensation,9,-41
S&T Practice,Other Compensation,10,"-24,860"
S&T Practice,Other Compensation,11,"-12,226"
S&T Practice,Other Compensation,12,"-10,189"
S&T Practice,Salary,1,"503,052"
S&T Practice,Salary,2,"530,359"
S&T Practice,Salary,3,"580,323"
S&T Practice,Salary,4,"515,044"
S&T Practice,Salary,5,"509,867"
S&T Practice,Salary,6,"543,191"
S&T Practice,Salary,7,"525,913"
S&T Practice,Salary,8,"435,828"
S&T Practice,Salary,9,"389,996"
S&T Practice,Salary,10,"451,542"
S&T Practice,Salary,11,"448,196"
S&T Practice,Salary,12,"472,243"
TMT Practice,Bonus (Firm Perf.),1,"-4,080"
TMT Practice,Bonus (Firm Perf.),2,"5,814"
TMT Practice,Bonus (Firm Perf.),3,"-14,745"
TMT Practice,Bonus (Firm Perf.),4,"7,276"
TMT Practice,Bonus (Firm Perf.),5,"6,148"
TMT Practice,Bonus (Firm Perf.),6,"6,224"
TMT Practice,Bonus (Firm Perf.),7,"4,801"
TMT Practice,Bonus (Firm Perf.),8,"10,442"
TMT Practice,Bonus (Firm Perf.),9,"6,906"
TMT Practice,Bonus (Firm Perf.),10,"6,804"
TMT Practice,Bonus (Firm Perf.),11,"6,940"
TMT Practice,Bonus (Firm Perf.),12,"7,026"
TMT Practice,Bonus (Individual Perf.),1,"-64,767"
TMT Practice,Bonus (Individual Perf.),2,"99,355"
TMT Practice,Bonus (Individual Perf.),3,"15,158"
TMT Practice,Bonus (Individual Perf.),4,"40,016"
TMT Practice,Bonus (Individual Perf.),5,"95,214"
TMT Practice,Bonus (Individual Perf.),6,"53,408"
TMT Practice,Bonus (Individual Perf.),7,"50,534"
TMT Practice,Bonus (Individual Perf.),8,"64,399"
TMT Practice,Bonus (Individual Perf.),9,"46,491"
TMT Practice,Bonus (Individual Perf.),10,"49,643"
TMT Practice,Bonus (Individual Perf.),11,"44,448"
TMT Practice,Bonus (Individual Perf.),12,"52,631"
TMT Practice,Bonus (Signing),1,206
TMT Practice,Bonus (Signing),2,400
TMT Practice,Bonus (Signing),3,303
TMT Practice,Bonus (Signing),5,24
TMT Practice,Bonus (Signing),6,109
TMT Practice,Bonus (Signing),7,109
TMT Practice,Bonus (Signing),8,121
TMT Practice,Bonus (Signing),9,121
TMT Practice,Bonus (Signing),10,121
TMT Practice,Bonus (Signing),12,427
TMT Practice,Fringe / Benefits,1,"41,690"
TMT Practice,Fringe / Benefits,2,"76,808"
TMT Practice,Fringe / Benefits,3,"82,278"
TMT Practice,Fringe / Benefits,4,"57,030"
TMT Practice,Fringe / Benefits,5,"68,047"
TMT Practice,Fringe / Benefits,6,"41,457"
TMT Practice,Fringe / Benefits,7,"46,231"
TMT Practice,Fringe / Benefits,8,"39,967"
TMT Practice,Fringe / Benefits,9,"98,876"
TMT Practice,Fringe / Benefits,10,"46,873"
TMT Practice,Fringe / Benefits,11,"37,833"
TMT Practice,Fringe / Benefits,12,"40,782"
TMT Practice,Other Compensation,3,"162,369"
TMT Practice,Other Compensation,4,"3,890"
TMT Practice,Other Compensation,5,-533
TMT Practice,Other Compensation,6,"-42,770"
TMT Practice,Other Compensation,7,"-16,679"
TMT Practice,Other Compensation,8,"-13,220"
TMT Practice,Other Compensation,9,"7,800"
TMT Practice,Other Compensation,10,"-12,826"
TMT Practice,Salary,1,"181,698"
TMT Practice,Salary,2,"182,234"
TMT Practice,Salary,3,"181,480"
TMT Practice,Salary,4,"158,163"
TMT Practice,Salary,5,"195,685"
TMT Practice,Salary,6,"180,950"
TMT Practice,Salary,7,"188,960"
TMT Practice,Salary,8,"169,099"
TMT Practice,Salary,9,"162,590"
TMT Practice,Salary,10,"163,396"
TMT Practice,Salary,11,"142,675"
TMT Practice,Salary,12,"185,386"
