Region ,Sub-Region,Cluster ,Office,Service Line Name  (group),Function,Sub Function,Cost Center Code,Cost Center Name,Case Group,Case Group Name,Case Code,Case Name,Cost Type,GL Account Name,GL Account,1,2,3,4,5,6,7,8,9,10,11,12
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ENR Practice (L2),7930,ENR Practice,79300201,ENR Practice - General,,,Compensation,Bonus - Individual Performance,61020000,"53,658","53,658","53,658","56,985","56,985","56,985","56,985","56,985","56,985","56,985","56,985","56,985"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ENR Practice (L2),7930,ENR Practice,79300201,ENR Practice - General,,,Compensation,Bonus - Office Performance,61023000,"9,103","9,103","9,103","9,668","9,668","9,668","9,668","9,668","9,668","9,668","9,668","9,668"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ENR Practice (L2),7930,ENR Practice,79300201,ENR Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,"76,316","76,316","76,316","81,031","81,031","81,031","81,031","81,031","81,031","81,031","81,031","81,031"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ENR Practice (L2),7930,ENR Practice,79300201,ENR Practice - General,,,Compensation,Vacation Expense,61107000,"-8,262","-9,262","-9,262","-9,262","-9,262","-9,262","-9,262","-9,262","-9,262","-9,262","-9,262","-9,262"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ENR Practice (L2),7930,ENR Practice,79300201,ENR Practice - General,,,Compensation,Wages,61010000,"203,149","203,149","203,149","215,685","215,685","215,685","215,685","215,685","215,685","215,685","215,685","215,685"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ENR Practice (L2),7930,ENR Practice,79300201,ENR Practice - General,,,Programs,Other Operating Expenses,66000000,"24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","24,000","27,000","33,000"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ENR Practice (L2),7930,ENR Practice,79300203,ENR Practice - DBs,,,Programs,Other Operating Expenses,66000000,"184,946","184,946","184,946","184,946","184,946","184,946","184,946","184,946","184,946","184,946","184,946","184,946"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ENR Practice (L2),7930,ENR Practice,79300204,ENR Practice - BCN,,,Programs,Other Operating Expenses,66000000,"20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ET Practice (L2),7500,ET Practice,75000201,ET Practice - General,,,Compensation,Bonus - Individual Performance,61020000,"37,495","37,495","37,495","39,820","39,820","39,820","39,820","39,820","39,820","39,820","39,820","39,820"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ET Practice (L2),7500,ET Practice,75000201,ET Practice - General,,,Compensation,Bonus - Office Performance,61023000,"5,566","5,566","5,566","5,911","5,911","5,911","5,911","5,911","5,911","5,911","5,911","5,911"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ET Practice (L2),7500,ET Practice,75000201,ET Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,"54,510","54,510","54,510","57,889","57,889","57,889","57,889","57,889","57,889","57,889","57,889","57,889"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ET Practice (L2),7500,ET Practice,75000201,ET Practice - General,,,Compensation,Vacation Expense,61107000,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282,-282
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ET Practice (L2),7500,ET Practice,75000201,ET Practice - General,,,Compensation,Wages,61010000,"146,867","146,867","146,867","155,973","155,973","155,973","155,973","155,973","155,973","155,973","155,973","155,973"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ET Practice (L2),7500,ET Practice,75000201,ET Practice - General,,,Programs,Other Operating Expenses,66000000,"48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","48,000","54,000","66,000"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,ET Practice (L2),7500,ET Practice,75000204,ET Practice - BCN,,,Programs,Other Operating Expenses,66000000,"17,500","17,500","17,500","17,500","17,500","17,500","17,500","17,500","17,500","17,500","17,500","17,500"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,FS Practice (L2),7650,FS Practice,76500201,FS Practice - General,,,Compensation,Bonus - Individual Performance,61020000,"50,643","50,643","50,643","53,783","53,783","53,783","53,783","53,783","53,783","53,783","53,783","53,783"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,FS Practice (L2),7650,FS Practice,76500201,FS Practice - General,,,Compensation,Bonus - Office Performance,61023000,"8,554","8,554","8,554","9,085","9,085","9,085","9,085","9,085","9,085","9,085","9,085","9,085"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,FS Practice (L2),7650,FS Practice,76500201,FS Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,"72,054","72,054","72,054","76,521","76,521","76,521","76,521","76,521","76,521","76,521","76,521","76,521"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,FS Practice (L2),7650,FS Practice,76500201,FS Practice - General,,,Compensation,Vacation Expense,61107000,-384,-384,-384,-384,-384,-384,-384,-384,-384,-384,-384,-384
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,FS Practice (L2),7650,FS Practice,76500201,FS Practice - General,,,Compensation,Wages,61010000,"191,861","191,861","191,861","203,757","203,757","203,757","203,757","203,757","203,757","203,757","203,757","203,757"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,FS Practice (L2),7650,FS Practice,76500201,FS Practice - General,,,Programs,Other Operating Expenses,66000000,"40,800","40,800","40,800","40,800","40,800","40,800","40,800","40,800","40,800","40,800","45,900","56,100"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,FS Practice (L2),7650,FS Practice,76500203,FS Practice - DBs,,,Programs,Other Operating Expenses,66000000,"303,868","303,868","303,868","303,868","303,868","303,868","303,868","303,868","303,868","303,868","303,868","303,868"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,FS Practice (L2),7650,FS Practice,76500204,FS Practice - BCN,,,Programs,Other Operating Expenses,66000000,"87,750","87,750","87,750","87,750","87,750","87,750","87,750","87,750","87,750","87,750","87,750","87,750"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7190,Further Practice,71900201,SI Practice - General,,,Compensation,Bonus - Individual Performance,61020000,"11,237","11,237","11,237","11,934","11,934","11,934","11,934","11,934","11,934","11,934","11,934","11,934"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7190,Further Practice,71900201,SI Practice - General,,,Compensation,Bonus - Office Performance,61023000,"1,537","1,537","1,537","1,632","1,632","1,632","1,632","1,632","1,632","1,632","1,632","1,632"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7190,Further Practice,71900201,SI Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,"16,749","16,749","16,749","17,787","17,787","17,787","17,787","17,787","17,787","17,787","17,787","17,787"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7190,Further Practice,71900201,SI Practice - General,,,Compensation,Vacation Expense,61107000,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7190,Further Practice,71900201,SI Practice - General,,,Compensation,Wages,61010000,"45,584","45,584","45,584","48,410","48,410","48,410","48,410","48,410","48,410","48,410","48,410","48,410"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7190,Further Practice,71900201,SI Practice - General,,,Programs,Other Operating Expenses,66000000,"10,560","10,560","10,560","10,560","10,560","10,560","10,560","10,560","10,560","10,560","11,880","14,520"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7190,Further Practice,71900205,SI Practice -BCN,,,Programs,Other Operating Expenses,66000000,"72,500","72,500","72,500","72,500","72,500","72,500","72,500","72,500","72,500","72,500","72,500","72,500"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7305,Further Practice,73050201,Further Practice - General,,,Compensation,Bonus - Individual Performance,61020000,"44,981","44,981","44,981","47,770","47,770","47,770","47,770","47,770","47,770","47,770","47,770","47,770"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7305,Further Practice,73050201,Further Practice - General,,,Compensation,Bonus - Office Performance,61023000,"7,784","7,784","7,784","8,267","8,267","8,267","8,267","8,267","8,267","8,267","8,267","8,267"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7305,Further Practice,73050201,Further Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,"70,411","70,411","70,411","74,756","74,756","74,756","74,756","74,756","74,756","74,756","74,756","74,756"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7305,Further Practice,73050201,Further Practice - General,,,Compensation,Vacation Expense,61107000,"80,372","79,372","79,372","79,372","79,372","79,372","79,372","79,372","79,372","79,372","79,372","79,372"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7305,Further Practice,73050201,Further Practice - General,,,Compensation,Wages,61010000,"192,571","192,571","192,571","204,438","204,438","204,438","204,438","204,438","204,438","204,438","204,438","204,438"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7305,Further Practice,73050201,Further Practice - General,,,Programs,Other Operating Expenses,66000000,"98,560","98,560","98,560","98,560","98,560","98,560","98,560","98,560","98,560","98,560","110,880","135,520"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7305,Further Practice,73050203,Further Practice - DBs,,,Programs,Other Operating Expenses,66000000,"363,197","363,197","363,197","363,197","363,197","363,197","363,197","363,197","363,197","363,197","363,197","363,197"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7305,Further Practice,73050204,Further Practice - BCN,,,Programs,Other Operating Expenses,66000000,"64,833","64,833","64,833","64,833","64,833","64,833","64,833","64,833","64,833","64,833","64,833","64,833"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7310,Further Practice,73100201,DE&I Practice - General,,,Compensation,Bonus - Individual Performance,61020000,"5,341","5,341","5,341","5,672","5,672","5,672","5,672","5,672","5,672","5,672","5,672","5,672"
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7310,Further Practice,73100201,DE&I Practice - General,,,Compensation,Bonus - Office Performance,61023000,827,827,827,878,878,878,878,878,878,878,878,878
Corp/Other,Corp/Adj,WW Corp/Adj,Worldwide Corp,Business Services,PPK,Further Practice,7310,Further Practice,73100201,DE&I Practice - General,,,Compensation,Fringe Benefits Allocation,61200000,"9,243","9,243","9,243","9,816","9,816","9,816","9,816","9,816","9,816","9,816","9,816","9,816"
